LAND;BEZ;LOR_ab_2021;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;USTRZUSTAND
11;6;6200315;2021;12;17;3;3;2;6;2;0;1;0;0;0;0;0
11;4;4501042;2021;12;16;7;3;3;6;1;0;1;0;0;0;0;1
11;11;11200411;2021;12;12;4;3;5;2;0;1;1;0;0;0;0;1
11;7;7501030;2021;12;18;3;3;3;6;0;0;1;0;0;1;0;0
11;3;3200308;2021;12;11;6;3;5;2;0;0;1;0;0;0;0;0
11;7;7601442;2021;12;18;1;3;5;2;2;0;1;0;0;0;0;1
11;7;7601341;2021;11;18;3;3;2;6;2;0;1;0;0;1;0;1
11;2;2200208;2021;12;14;3;3;6;2;0;0;1;1;0;0;0;0
11;9;9200614;2021;12;3;1;3;0;7;2;0;1;0;0;0;0;2
11;11;11100308;2021;12;14;5;2;6;4;0;0;0;1;0;0;1;0
11;7;7400823;2021;12;16;6;3;5;2;2;0;1;0;1;0;0;0
11;4;4400833;2021;12;11;6;3;2;2;0;0;1;0;0;0;0;1
11;9;9401432;2021;12;9;6;3;3;6;0;1;1;0;0;0;0;1
11;12;12100205;2021;12;10;4;3;5;2;0;0;1;0;0;0;0;1
11;8;8200726;2021;12;17;7;3;6;4;1;1;0;1;0;0;0;1
11;2;2100102;2021;12;23;3;3;5;3;2;0;1;0;0;0;0;1
11;3;3601141;2021;12;12;5;3;3;6;0;1;0;0;0;0;0;1
11;4;4200308;2021;12;15;2;3;5;2;2;0;1;0;0;0;0;0
11;10;10200629;2021;12;0;3;3;5;2;2;0;1;0;0;0;0;0
11;4;4501041;2021;12;16;4;3;5;3;1;0;1;0;0;0;0;1
11;6;6400735;2021;12;14;2;3;5;3;0;1;1;0;0;0;0;0
11;1;1100309;2021;12;19;4;3;5;7;2;1;1;0;0;0;0;1
11;5;5100316;2021;12;7;5;3;5;2;2;0;1;0;0;0;0;1
11;11;11200410;2021;12;12;6;3;5;7;0;0;1;0;0;0;0;1
11;1;1100309;2021;12;14;3;3;5;3;0;0;1;0;0;0;0;0
11;6;6200317;2021;12;12;5;3;5;3;0;0;1;0;0;0;0;1
11;4;4200308;2021;12;14;4;3;1;5;0;1;1;0;0;0;0;0
11;5;5300736;2021;12;7;7;2;1;1;1;0;1;0;0;0;0;1
11;10;10200627;2021;12;7;4;3;5;7;0;1;0;0;0;0;1;0
11;4;4501042;2021;12;21;5;3;2;6;2;0;1;0;0;0;0;1
11;11;11300618;2021;12;17;2;3;2;6;2;0;1;0;0;0;0;1
11;8;8200624;2021;12;0;7;3;5;3;2;0;1;0;0;0;0;2
11;11;11100205;2021;12;6;4;2;6;4;2;0;1;1;0;0;0;1
11;4;4501043;2021;12;9;3;3;1;5;0;1;1;0;0;0;0;0
11;1;1200623;2021;12;13;2;3;5;3;0;1;0;0;0;0;1;1
11;7;7400927;2021;12;17;5;3;2;6;2;0;1;0;0;0;0;0
11;5;5100316;2021;12;22;6;3;5;3;2;1;1;0;0;0;0;1
11;9;9200819;2021;12;20;2;3;0;1;2;1;0;0;0;0;0;1
11;6;6200311;2021;12;17;7;3;2;6;1;0;1;0;0;0;0;1
11;3;3601453;2021;12;10;3;3;5;3;0;0;1;0;0;0;0;0
11;5;5300735;2021;12;8;4;2;5;2;0;0;1;0;0;0;0;0
11;1;1400937;2021;12;16;7;3;6;2;1;0;1;1;0;0;0;1
11;8;8100314;2021;12;14;5;3;5;3;0;1;1;0;0;0;0;0
11;4;4400835;2021;11;14;2;3;1;5;0;1;1;0;0;0;0;1
11;1;1100207;2021;12;6;3;3;5;3;2;0;1;0;0;0;1;1
11;3;3501038;2021;12;15;1;3;1;5;1;1;1;0;0;0;0;0
11;1;1300733;2021;12;17;6;3;5;3;2;0;1;0;0;0;0;1
11;7;7200411;2021;12;13;3;3;5;2;0;1;0;0;0;0;1;1
11;5;5200629;2021;12;18;6;3;6;4;2;0;1;1;0;0;0;1
11;6;6300632;2021;12;19;1;3;1;5;2;0;1;0;0;0;0;1
11;7;7601339;2021;12;19;1;3;6;2;2;0;1;1;0;0;0;0
11;1;1300733;2021;11;22;3;3;6;4;2;0;0;1;0;0;1;1
11;9;9200510;2021;12;10;2;3;5;2;0;1;1;0;0;0;0;0
11;12;12601235;2021;12;8;5;3;6;2;0;0;0;1;0;0;1;1
11;10;10100311;2021;12;5;5;3;3;6;2;0;1;0;0;0;1;0
11;7;7601237;2021;12;16;1;3;6;2;2;0;1;1;0;0;0;1
11;6;6400843;2021;12;20;3;3;1;7;2;0;1;0;0;0;0;1
11;4;4100101;2021;12;13;7;3;5;2;0;0;1;0;0;0;0;1
11;1;1100308;2021;12;8;5;3;1;5;0;1;1;0;0;0;0;0
11;1;1200625;2021;12;6;4;3;5;3;2;1;0;0;0;0;1;2
11;8;8100521;2021;12;17;5;3;2;2;2;0;1;0;0;0;1;0
11;4;4200205;2021;12;9;5;3;2;2;0;0;1;0;0;0;0;1
11;1;1200623;2021;12;16;6;3;6;2;1;0;1;1;0;0;0;1
11;1;1100205;2021;12;11;2;3;5;2;0;1;1;0;0;0;0;0
11;10;10200630;2021;12;16;4;3;6;4;1;0;1;1;0;0;0;1
11;8;8100415;2021;12;16;2;3;3;6;1;0;1;0;0;1;0;1
11;2;2500727;2021;12;23;4;2;1;5;2;0;1;0;0;0;1;0
11;1;1300730;2021;12;17;6;2;5;5;2;0;1;0;0;0;0;0
11;4;4200308;2021;11;10;2;3;5;2;0;0;1;0;0;0;0;0
11;9;9301126;2021;12;23;1;3;5;3;2;0;1;0;0;0;1;1
11;3;3400830;2021;12;8;4;3;0;5;0;1;1;0;0;0;0;0
11;1;1200520;2021;12;20;7;3;6;4;2;0;0;1;0;0;1;1
11;1;1400937;2021;12;15;2;3;5;3;0;1;1;0;0;0;0;1
11;12;12100205;2021;12;12;4;3;1;5;0;0;1;0;0;0;1;0
11;1;1100309;2021;12;15;7;3;0;1;1;1;0;0;0;0;0;1
11;10;10200629;2021;12;12;5;3;5;2;0;0;1;0;0;0;0;0
11;3;3701555;2021;11;9;2;3;5;3;0;0;1;0;0;0;1;1
11;12;12500926;2021;12;19;1;3;6;4;2;0;1;1;0;0;0;1
11;2;2200208;2021;12;16;4;3;5;2;2;1;1;0;0;0;0;0
11;7;7100101;2021;12;16;6;3;6;2;2;0;1;1;0;0;0;1
11;10;10100206;2021;12;18;3;2;6;2;2;0;1;1;0;0;0;1
11;1;1401049;2021;12;22;6;2;0;1;2;0;1;0;0;1;0;1
11;4;4100101;2021;12;9;6;3;5;2;0;0;1;0;0;0;0;0
11;7;7400720;2021;12;13;2;3;6;7;0;0;0;1;0;0;1;1
11;4;4200310;2021;11;11;3;3;5;3;0;0;1;0;0;0;1;1
11;5;5100209;2021;12;13;2;3;6;7;0;0;1;1;0;0;0;0
11;6;6300633;2021;12;13;4;3;5;7;0;1;0;0;0;0;1;0
11;1;1100207;2021;12;12;4;3;5;3;0;1;1;0;0;0;0;0
11;5;5100316;2021;12;8;2;3;2;6;0;0;1;0;1;0;0;0
11;1;1300834;2021;12;23;4;3;1;5;2;1;1;0;0;0;0;1
11;6;6100103;2021;12;15;7;3;6;7;0;0;1;1;0;0;0;1
11;1;1100103;2021;12;12;4;3;2;6;0;0;1;0;0;0;0;0
11;2;2500832;2021;12;14;5;3;3;6;0;1;1;0;0;0;0;1
11;1;1100312;2021;12;6;6;3;2;2;2;0;1;0;0;0;0;0
11;6;6100204;2021;11;12;2;3;1;1;0;0;1;0;0;0;1;1
11;9;9200613;2021;12;13;3;2;6;7;0;1;0;1;0;0;0;0
11;1;1401047;2021;12;15;5;3;6;2;2;0;1;1;0;0;0;1
11;6;6100102;2021;12;16;6;3;6;7;2;0;1;1;0;0;0;1
11;8;8300934;2021;12;16;6;3;0;2;2;0;1;0;0;0;1;0
11;5;5100315;2021;12;18;4;3;5;2;2;0;1;0;0;0;1;1
11;3;3601141;2021;12;15;1;3;2;6;1;0;1;0;0;0;0;1
11;2;2100104;2021;12;18;2;3;0;6;2;0;1;0;1;0;0;1
11;6;6200421;2021;12;16;3;3;1;5;1;1;1;0;0;0;0;1
11;1;1200517;2021;12;21;5;3;0;7;2;0;0;0;0;0;1;0
11;5;5400943;2021;12;10;5;3;5;3;0;1;1;0;0;0;0;1
11;12;12601235;2021;12;10;2;3;5;3;0;0;1;0;0;0;0;1
11;1;1300733;2021;12;7;2;3;6;2;1;0;1;1;0;0;0;1
11;12;12100205;2021;12;17;5;3;5;2;2;0;1;0;0;0;0;0
11;5;5200524;2021;12;18;3;3;2;6;2;0;1;0;0;0;0;0
11;7;7100103;2021;12;14;4;3;2;2;0;0;1;0;0;0;0;0
11;5;5200423;2021;12;17;7;3;2;6;1;0;1;0;0;0;0;0
11;3;3701660;2021;12;10;3;1;3;6;0;1;0;0;0;1;0;1
11;10;10100104;2021;12;13;4;2;6;4;0;0;1;1;0;0;0;1
11;7;7501133;2021;12;19;4;3;5;3;2;0;1;0;0;0;0;0
11;12;12200515;2021;12;11;6;3;5;2;0;0;1;0;0;0;0;0
